1,1,50,Purchase,2024-05-01
2,2,100,Purchase,2024-05-01
3,3,150,Purchase,2024-05-01
4,4,20,Purchase,2024-05-01
5,5,10,Purchase,2024-05-01
6,1,30,Sale,2024-05-01
7,2,50,Sale,2024-05-01
8,3,70,Sale,2024-05-01
9,4,10,Sale,2024-05-01
10,5,5,Sale,2024-05-01
11,6,80,Purchase,2024-05-02
12,7,120,Purchase,2024-05-02
13,8,50,Purchase,2024-05-02
14,9,60,Purchase,2024-05-02
15,10,25,Purchase,2024-05-02
16,6,40,Sale,2024-05-03
17,7,60,Sale,2024-05-03
18,8,30,Sale,2024-05-03
19,9,40,Sale,2024-05-03
20,10,15,Sale,2024-05-03
21,11,40,Purchase,2024-05-03
22,12,200,Purchase,2024-05-03
23,13,50,Purchase,2024-05-03
24,14,10,Purchase,2024-05-03
25,15,100,Purchase,2024-05-03
26,11,20,Sale,2024-05-04
27,12,150,Sale,2024-05-04
28,13,30,Sale,2024-05-04
29,14,5,Sale,2024-05-04
30,15,50,Sale,2024-05-04
31,16,50,Purchase,2024-05-04
32,17,80,Purchase,2024-05-04
33,18,40,Purchase,2024-05-04
34,19,15,Purchase,2024-05-04
35,20,70,Purchase,2024-05-04
36,16,20,Sale,2024-05-05
37,17,50,Sale,2024-05-05
38,18,20,Sale,2024-05-05
39,19,5,Sale,2024-05-05
40,20,40,Sale,2024-05-05
